Fondsposition per,"24.Feb.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"DUK","DUKE ENERGY CORP","Versorger","Aktien","115.350.283,52","0,21","115.350.283,52","1.188.688,00","97,04","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"USB","US BANCORP","Financials","Aktien","115.305.672,79","0,21","115.305.672,79","2.083.963,00","55,33","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CSX","CSX CORP","Industrie","Aktien","114.984.542,40","0,20","114.984.542,40","3.422.159,00","33,60","Vereinigte Staaten","NASDAQ","USD"
"CI","CIGNA CORP","Gesundheitsversorgung","Aktien","114.783.152,49","0,20","114.783.152,49","511.443,00","224,43","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TMUS","T MOBILE US INC","Kommunikation","Aktien","112.025.572,56","0,20","112.025.572,56","905.916,00","123,66","Vereinigte Staaten","NASDAQ","USD"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Kommunikation","Aktien","111.948.941,73","0,20","111.948.941,73","190.847,00","586,59","Vereinigte Staaten","NASDAQ","USD"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Aktien","111.195.867,12","0,20","111.195.867,12","869.261,00","127,92","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Immobilien","Aktien","110.179.575,00","0,20","110.179.575,00","667.755,00","165,00","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EW","EDWARDS LIFESCIENCES CORP","Gesundheitsversorgung","Aktien","105.778.808,12","0,19","105.778.808,12","964.783,00","109,64","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EL","ESTEE LAUDER INC CLASS A","Nichtzyklische Konsumgüter","Aktien","104.906.243,79","0,19","104.906.243,79","357.883,00","293,13","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"F","FORD MOTOR CO","Zyklische Konsumgüter ","Aktien","104.016.945,20","0,18","104.016.945,20","6.065.128,00","17,15","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GM","GENERAL MOTORS","Zyklische Konsumgüter ","Aktien","103.957.117,20","0,18","103.957.117,20","2.242.872,00","46,35","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SO","SOUTHERN","Versorger","Aktien","102.999.640,80","0,18","102.999.640,80","1.638.035,00","62,88","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"REGN","REGENERON PHARMACEUTICALS INC","Gesundheitsversorgung","Aktien","99.492.314,58","0,18","99.492.314,58","163.161,00","609,78","Vereinigte Staaten","NASDAQ","USD"
"EOG","EOG RESOURCES INC","Energie","Aktien","99.394.426,50","0,18","99.394.426,50","902.765,00","110,10","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FCX","FREEPORT MCMORAN INC","Materialien","Aktien","99.150.402,00","0,18","99.150.402,00","2.267.850,00","43,72","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CL","COLGATE-PALMOLIVE","Nichtzyklische Konsumgüter","Aktien","98.384.753,40","0,17","98.384.753,40","1.301.730,00","75,58","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EQIX","EQUINIX REIT INC","Immobilien","Aktien","98.161.878,60","0,17","98.161.878,60","139.140,00","705,49","Vereinigte Staaten","NASDAQ","USD"
"AON","AON PLC CLASS A","Financials","Aktien","97.940.285,21","0,17","97.940.285,21","339.917,00","288,13","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ATVI","ACTIVISION BLIZZARD INC","Kommunikation","Aktien","97.354.901,64","0,17","97.354.901,64","1.201.764,00","81,01","Vereinigte Staaten","NASDAQ","USD"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Aktien","97.044.844,33","0,17","97.044.844,33","656.729,00","147,77","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BSX","BOSTON SCIENTIFIC CORP","Gesundheitsversorgung","Aktien","96.632.952,90","0,17","96.632.952,90","2.198.702,00","43,95","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"D","DOMINION ENERGY INC","Versorger","Aktien","96.609.875,52","0,17","96.609.875,52","1.252.072,00","77,16","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SHW","SHERWIN WILLIAMS","Materialien","Aktien","96.526.099,56","0,17","96.526.099,56","372.774,00","258,94","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NSC","NORFOLK SOUTHERN CORP","Industrie","Aktien","95.375.507,40","0,17","95.375.507,40","375.435,00","254,04","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ITW","ILLINOIS TOOL INC","Industrie","Aktien","94.692.065,58","0,17","94.692.065,58","442.197,00","214,14","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PGR","PROGRESSIVE CORP","Financials","Aktien","92.958.149,92","0,17","92.958.149,92","903.559,00","102,88","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ETN","EATON PLC","Industrie","Aktien","92.531.437,24","0,16","92.531.437,24","615.604,00","150,31","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NOC","NORTHROP GRUMMAN CORP","Industrie","Aktien","91.250.221,23","0,16","91.250.221,23","230.727,00","395,49","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"VRTX","VERTEX PHARMACEUTICALS INC","Gesundheitsversorgung","Aktien","90.314.411,25","0,16","90.314.411,25","392.245,00","230,25","Vereinigte Staaten","NASDAQ","USD"
"HCA","HCA HEALTHCARE INC","Gesundheitsversorgung","Aktien","89.999.316,96","0,16","89.999.316,96","369.516,00","243,56","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FIS","FIDELITY NATIONAL INFORMATION SERV","IT","Aktien","89.989.236,98","0,16","89.989.236,98","939.541,00","95,78","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FISV","FISERV INC","IT","Aktien","87.731.055,88","0,16","87.731.055,88","918.073,00","95,56","Vereinigte Staaten","NASDAQ","USD"
"MRNA","MODERNA INC","Gesundheitsversorgung","Aktien","85.148.630,83","0,15","85.148.630,83","545.021,00","156,23","Vereinigte Staaten","NASDAQ","USD"
"WM","WASTE MANAGEMENT INC","Industrie","Aktien","84.274.672,60","0,15","84.274.672,60","593.860,00","141,91","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"KLAC","KLA CORP","IT","Aktien","83.890.131,78","0,15","83.890.131,78","234.402,00","357,89","Vereinigte Staaten","NASDAQ","USD"
"HUM","HUMANA INC","Gesundheitsversorgung","Aktien","83.702.198,80","0,15","83.702.198,80","198.676,00","421,30","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EMR","EMERSON ELECTRIC","Industrie","Aktien","83.091.780,00","0,15","83.091.780,00","923.242,00","90,00","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SLB","SCHLUMBERGER NV","Energie","Aktien","82.931.377,60","0,15","82.931.377,60","2.164.180,00","38,32","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PSA","PUBLIC STORAGE REIT","Immobilien","Aktien","82.780.734,60","0,15","82.780.734,60","235.420,00","351,63","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NEM","NEWMONT","Materialien","Aktien","82.165.413,12","0,15","82.165.413,12","1.231.496,00","66,72","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FDX","FEDEX CORP","Industrie","Aktien","81.714.276,24","0,15","81.714.276,24","378.447,00","215,92","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materialien","Aktien","80.395.179,34","0,14","80.395.179,34","341.918,00","235,13","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MCO","MOODYS CORP","Financials","Aktien","80.375.708,00","0,14","80.375.708,00","249.614,00","322,00","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PXD","PIONEER NATURAL RESOURCE","Energie","Aktien","79.125.541,20","0,14","79.125.541,20","350.268,00","225,90","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NXPI","NXP SEMICONDUCTORS NV","IT","Aktien","78.544.028,66","0,14","78.544.028,66","410.323,00","191,42","Vereinigte Staaten","NASDAQ","USD"
"GD","GENERAL DYNAMICS CORP","Industrie","Aktien","78.224.561,74","0,14","78.224.561,74","357.958,00","218,53","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ILMN","ILLUMINA INC","Gesundheitsversorgung","Aktien","78.115.431,24","0,14","78.115.431,24","241.164,00","323,91","Vereinigte Staaten","NASDAQ","USD"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Aktien","77.356.923,84","0,14","77.356.923,84","1.281.168,00","60,38","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ADSK","AUTODESK INC","IT","Aktien","74.074.073,62","0,13","74.074.073,62","339.509,00","218,18","Vereinigte Staaten","NASDAQ","USD"
"MET","METLIFE INC","Financials","Aktien","73.054.433,76","0,13","73.054.433,76","1.103.208,00","66,22","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CNC","CENTENE CORP","Gesundheitsversorgung","Aktien","72.853.654,72","0,13","72.853.654,72","901.208,00","80,84","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
