Fondsposition per,"03.Feb.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"GS","GOLDMAN SACHS GROUP INC","Financials","Aktien","97.706.515,52","0,21","97.706.515,52","272.254,00","358,88","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMAT","APPLIED MATERIAL INC","IT","Aktien","97.666.898,56","0,21","97.666.898,56","715.456,00","136,51","Vereinigte Staaten","NASDAQ","USD"
"BLK","BLACKROCK INC","Financials","Aktien","96.580.397,97","0,21","96.580.397,97","119.861,00","805,77","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"COP","CONOCOPHILLIPS","Energie","Aktien","96.439.149,69","0,21","96.439.149,69","1.061.287,00","90,87","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DGE","DIAGEO PLC","Nichtzyklische Konsumgüter","Aktien","95.875.460,62","0,20","95.875.460,62","1.874.393,00","51,15","Vereinigtes Königreich","London Stock Exchange","GBP"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","IT","Aktien","95.867.461,78","0,20","95.867.461,78","695.801,00","137,78","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SIE","SIEMENS N AG","Industrie","Aktien","93.492.345,08","0,20","93.492.345,08","598.488,00","156,21","Deutschland","Xetra","EUR"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Aktien","93.179.246,35","0,20","93.179.246,35","1.394.796,00","66,80","Australien","Asx - All Markets","AUD"
"SAN","SANOFI SA","Gesundheitsversorgung","Aktien","92.927.513,30","0,20","92.927.513,30","891.559,00","104,23","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"PLD","PROLOGIS REIT INC","Immobilien","Aktien","91.024.614,00","0,19","91.024.614,00","581.850,00","156,44","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BA","BOEING","Industrie","Aktien","90.748.031,88","0,19","90.748.031,88","439.692,00","206,39","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMT","AMERICAN TOWER REIT CORP","Immobilien","Aktien","90.308.407,50","0,19","90.308.407,50","360.225,00","250,70","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ANTM","ANTHEM INC","Gesundheitsversorgung","Aktien","89.417.373,22","0,19","89.417.373,22","197.918,00","451,79","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SBUX","STARBUCKS CORP","Zyklische Konsumgüter ","Aktien","89.397.275,76","0,19","89.397.275,76","931.804,00","95,94","Vereinigte Staaten","NASDAQ","USD"
"DE","DEERE","Industrie","Aktien","88.243.261,47","0,19","88.243.261,47","237.923,00","370,89","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GSK","GLAXOSMITHKLINE PLC","Gesundheitsversorgung","Aktien","88.123.301,63","0,19","88.123.301,63","3.975.450,00","22,17","Vereinigtes Königreich","London Stock Exchange","GBP"
"NOW","SERVICENOW INC","IT","Aktien","87.904.263,90","0,19","87.904.263,90","156.734,00","560,85","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CAT","CATERPILLAR INC","Industrie","Aktien","86.865.298,91","0,19","86.865.298,91","433.049,00","200,59","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"OR","LOREAL SA","Nichtzyklische Konsumgüter","Aktien","85.384.455,03","0,18","85.384.455,03","200.762,00","425,30","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"GE","GENERAL ELECTRIC","Industrie","Aktien","85.371.649,28","0,18","85.371.649,28","868.304,00","98,32","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BP.","BP PLC","Energie","Aktien","85.255.823,02","0,18","85.255.823,02","15.962.651,00","5,34","Vereinigtes Königreich","London Stock Exchange","GBP"
"ALV","ALLIANZ","Financials","Aktien","83.013.416,03","0,18","83.013.416,03","322.498,00","257,41","Deutschland","Xetra","EUR"
"ISRG","INTUITIVE SURGICAL INC","Gesundheitsversorgung","Aktien","82.391.887,20","0,18","82.391.887,20","288.487,00","285,60","Vereinigte Staaten","NASDAQ","USD"
"TGT","TARGET CORP","Zyklische Konsumgüter ","Aktien","82.018.271,30","0,18","82.018.271,30","384.665,00","213,22","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SPGI","S&P GLOBAL INC","Financials","Aktien","80.092.845,85","0,17","80.092.845,85","193.859,00","413,15","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BHP","BHP GROUP LTD","Materialien","Aktien","79.540.379,21","0,17","79.540.379,21","2.364.571,00","33,64","Australien","Asx - All Markets","AUD"
"LMT","LOCKHEED MARTIN CORP","Industrie","Aktien","77.739.694,20","0,17","77.739.694,20","199.486,00","389,70","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BKNG","BOOKING HOLDINGS INC","Zyklische Konsumgüter ","Aktien","77.276.696,56","0,16","77.276.696,56","31.703,00","2.437,52","Vereinigte Staaten","NASDAQ","USD"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Nichtzyklische Konsumgüter","Aktien","77.075.823,86","0,16","77.075.823,86","1.134.469,00","67,94","Vereinigte Staaten","NASDAQ","USD"
"6861","KEYENCE CORP","IT","Aktien","76.949.146,96","0,16","76.949.146,96","147.204,00","522,74","Japan","Tokyo Stock Exchange","JPY"
"ZTS","ZOETIS INC CLASS A","Gesundheitsversorgung","Aktien","74.500.533,24","0,16","74.500.533,24","370.797,00","200,92","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BATS","BRITISH AMERICAN TOBACCO PLC","Nichtzyklische Konsumgüter","Aktien","74.383.955,85","0,16","74.383.955,85","1.712.894,00","43,43","Vereinigtes Königreich","London Stock Exchange","GBP"
"MMM","3M","Industrie","Aktien","73.732.202,80","0,16","73.732.202,80","448.520,00","164,39","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BX","BLACKSTONE INC","Financials","Aktien","73.539.380,97","0,16","73.539.380,97","548.433,00","134,09","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MO","ALTRIA GROUP INC","Nichtzyklische Konsumgüter","Aktien","73.340.730,32","0,16","73.340.730,32","1.454.596,00","50,42","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","IT","Aktien","72.967.838,04","0,16","72.967.838,04","90.033,00","810,46","Kanada","Toronto Stock Exchange","CAD"
"CB","CHUBB LTD","Financials","Aktien","72.222.493,20","0,15","72.222.493,20","348.312,00","207,35","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
