Fondsposition per,"24.Feb.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"ORSTED","ORSTED","Versorger","Aktien","12.579.787,36","0,20","12.579.787,36","121.552,00","103,49","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"VIE","VEOLIA ENVIRON. SA","Versorger","Aktien","12.412.464,84","0,20","12.412.464,84","417.366,00","29,74","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"LGEN","LEGAL AND GENERAL GROUP PLC","Financials","Aktien","12.401.867,08","0,20","12.401.867,08","3.904.411,00","3,18","Vereinigtes Königreich","London Stock Exchange","GBP"
"EQT","EQT","Financials","Aktien","12.398.427,48","0,20","12.398.427,48","429.553,00","28,86","Schweden","Nasdaq Omx Nordic","SEK"
"TEP","TELEPERFORMANCE","Industrie","Aktien","12.165.080,40","0,19","12.165.080,40","38.004,00","320,10","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"AV.","AVIVA PLC","Financials","Aktien","11.996.588,93","0,19","11.996.588,93","2.459.604,00","4,88","Vereinigtes Königreich","London Stock Exchange","GBP"
"GMAB","GENMAB","Gesundheitsversorgung","Aktien","11.960.312,46","0,19","11.960.312,46","42.345,00","282,45","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"IMB","IMPERIAL BRANDS PLC","Nichtzyklische Konsumgüter","Aktien","11.869.931,38","0,19","11.869.931,38","612.799,00","19,37","Vereinigtes Königreich","London Stock Exchange","GBP"
"EVO","EVOLUTION","Zyklische Konsumgüter ","Aktien","11.592.674,79","0,18","11.592.674,79","124.022,00","93,47","Schweden","Nasdaq Omx Nordic","SEK"
"SOON","SONOVA HOLDING AG","Gesundheitsversorgung","Aktien","11.278.536,32","0,18","11.278.536,32","34.998,00","322,26","Schweiz","SIX Swiss Exchange","CHF"
"REP","REPSOL SA","Energie","Aktien","11.195.671,52","0,18","11.195.671,52","988.144,00","11,33","Spanien","Bolsa De Madrid","EUR"
