Fondsposition per,"01.Mär.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"ZTS","ZOETIS INC CLASS A","Gesundheitsversorgung","Aktien","140.639.880,30","0,25","140.639.880,30","730.445,00","192,54","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Nichtzyklische Konsumgüter","Aktien","138.614.289,02","0,25","138.614.289,02","2.154.403,00","64,34","Vereinigte Staaten","NASDAQ","USD"
"SYK","STRYKER CORP","Gesundheitsversorgung","Aktien","136.047.664,80","0,24","136.047.664,80","518.040,00","262,62","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CB","CHUBB LTD","Financials","Aktien","132.635.235,70","0,23","132.635.235,70","664.705,00","199,54","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ADP","AUTOMATIC DATA PROCESSING INC","IT","Aktien","131.673.665,81","0,23","131.673.665,81","650.851,00","202,31","Vereinigte Staaten","NASDAQ","USD"
"BKNG","BOOKING HOLDINGS INC","Zyklische Konsumgüter ","Aktien","131.288.136,00","0,23","131.288.136,00","63.363,00","2.072,00","Vereinigte Staaten","NASDAQ","USD"
"ADI","ANALOG DEVICES INC","IT","Aktien","130.315.741,95","0,23","130.315.741,95","830.301,00","156,95","Vereinigte Staaten","NASDAQ","USD"
"CME","CME GROUP INC CLASS A","Financials","Aktien","129.640.854,70","0,23","129.640.854,70","555.326,00","233,45","Vereinigte Staaten","NASDAQ","USD"
"MMM","3M","Industrie","Aktien","128.805.063,75","0,23","128.805.063,75","889.845,00","144,75","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Aktien","122.338.024,50","0,22","122.338.024,50","653.550,00","187,19","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CI","CIGNA CORP","Gesundheitsversorgung","Aktien","121.263.135,30","0,21","121.263.135,30","511.443,00","237,10","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BDX","BECTON DICKINSON","Gesundheitsversorgung","Aktien","120.238.796,72","0,21","120.238.796,72","443.048,00","271,39","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TFC","TRUIST FINANCIAL CORP","Financials","Aktien","119.883.610,05","0,21","119.883.610,05","2.061.627,00","58,15","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MMC","MARSH & MCLENNAN INC","Financials","Aktien","119.814.501,68","0,21","119.814.501,68","779.332,00","153,74","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DUK","DUKE ENERGY CORP","Versorger","Aktien","118.666.723,04","0,21","118.666.723,04","1.188.688,00","99,83","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TJX","TJX INC","Zyklische Konsumgüter ","Aktien","118.586.642,40","0,21","118.586.642,40","1.855.816,00","63,90","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LRCX","LAM RESEARCH CORP","IT","Aktien","117.535.594,53","0,21","117.535.594,53","217.429,00","540,57","Vereinigte Staaten","NASDAQ","USD"
"GILD","GILEAD SCIENCES INC","Gesundheitsversorgung","Aktien","116.629.493,88","0,21","116.629.493,88","1.935.438,00","60,26","Vereinigte Staaten","NASDAQ","USD"
"CSX","CSX CORP","Industrie","Aktien","114.094.781,06","0,20","114.094.781,06","3.422.159,00","33,34","Vereinigte Staaten","NASDAQ","USD"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Kommunikation","Aktien","113.504.344,78","0,20","113.504.344,78","190.847,00","594,74","Vereinigte Staaten","NASDAQ","USD"
