Fondsposition per,"05.Apr.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Aktien","113.414.235,24","0,24","113.414.235,24","1.425.352,00","79,57","Australien","Asx - All Markets","AUD"
"ORCL","ORACLE CORP","IT","Aktien","112.599.509,88","0,23","112.599.509,88","1.357.602,00","82,94","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LOW","LOWES COMPANIES INC","Zyklische Konsumgüter ","Aktien","112.190.704,53","0,23","112.190.704,53","547.619,00","204,87","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMGN","AMGEN INC","Gesundheitsversorgung","Aktien","111.661.938,48","0,23","111.661.938,48","456.583,00","244,56","Vereinigte Staaten","NASDAQ","USD"
"INTU","INTUIT INC","IT","Aktien","110.136.989,40","0,23","110.136.989,40","222.028,00","496,05","Vereinigte Staaten","NASDAQ","USD"
"HON","HONEYWELL INTERNATIONAL INC","Industrie","Aktien","108.252.530,47","0,23","108.252.530,47","559.069,00","193,63","Vereinigte Staaten","NASDAQ","USD"
"1299","AIA GROUP LTD","Financials","Aktien","106.970.294,13","0,22","106.970.294,13","9.989.674,00","10,71","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"COP","CONOCOPHILLIPS","Energie","Aktien","106.362.973,15","0,22","106.362.973,15","1.084.783,00","98,05","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PYPL","PAYPAL HOLDINGS INC","IT","Aktien","106.129.947,30","0,22","106.129.947,30","902.082,00","117,65","Vereinigte Staaten","NASDAQ","USD"
"6758","SONY GROUP CORP","Zyklische Konsumgüter ","Aktien","104.539.276,29","0,22","104.539.276,29","1.013.698,00","103,13","Japan","Tokyo Stock Exchange","JPY"
"CVS","CVS HEALTH CORP","Gesundheitsversorgung","Aktien","104.332.247,02","0,22","104.332.247,02","1.048.987,00","99,46","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TTE","TOTALENERGIES","Energie","Aktien","104.020.896,99","0,22","104.020.896,99","2.053.912,00","50,65","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"DE","DEERE","Industrie","Aktien","100.590.276,82","0,21","100.590.276,82","243.142,00","413,71","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DGE","DIAGEO PLC","Nichtzyklische Konsumgüter","Aktien","100.086.784,87","0,21","100.086.784,87","1.915.433,00","52,25","Vereinigtes Königreich","London Stock Exchange","GBP"
"ANTM","ANTHEM INC","Gesundheitsversorgung","Aktien","100.069.255,00","0,21","100.069.255,00","202.250,00","494,78","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AXP","AMERICAN EXPRESS","Financials","Aktien","99.500.101,20","0,21","99.500.101,20","536.678,00","185,40","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PLD","PROLOGIS REIT INC","Immobilien","Aktien","98.892.036,96","0,21","98.892.036,96","594.732,00","166,28","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SAP","SAP","IT","Aktien","97.941.569,21","0,20","97.941.569,21","880.590,00","111,22","Deutschland","Xetra","EUR"
"AMT","AMERICAN TOWER REIT CORP","Immobilien","Aktien","96.797.941,80","0,20","96.797.941,80","368.165,00","262,92","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SAN","SANOFI SA","Gesundheitsversorgung","Aktien","96.649.754,26","0,20","96.649.754,26","911.089,00","106,08","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ULVR","UNILEVER PLC","Nichtzyklische Konsumgüter","Aktien","96.209.986,44","0,20","96.209.986,44","2.071.883,00","46,44","Vereinigtes Königreich","London Stock Exchange","GBP"
